describe,evaluate,introduce,movie_name,serial_number,start
希望让人自由。,1114618人评价,"导演:,弗兰克·德拉邦特,Frank,Darabont,主演:,蒂姆·罗宾斯,Tim,Robbins,/...",肖申克的救赎,1,9.6
风华绝代。,813342人评价,"导演:,陈凯歌,Kaige,Chen,主演:,张国荣,Leslie,Cheung,/,张丰毅,Fengyi,Zha...",霸王别姬,2,9.5
怪蜀黍和小萝莉不得不说的故事。,1033089人评价,"导演:,吕克·贝松,Luc,Besson,主演:,让·雷诺,Jean,Reno,/,娜塔莉·波特曼,...",这个杀手不太冷,3,9.4
一部美国近现代史。,880878人评价,"导演:,Robert,Zemeckis,主演:,Tom,Hanks,/,Robin,Wright,Penn,/,Gary,Sinise",阿甘正传,4,9.4
最美的谎言。,514167人评价,"导演:,罗伯托·贝尼尼,Roberto,Benigni,主演:,罗伯托·贝尼尼,Roberto,Beni...",美丽人生,5,9.5
失去的才是永恒的。 ,819412人评价,"导演:,詹姆斯·卡梅隆,James,Cameron,主演:,莱昂纳多·迪卡普里奥,Leonardo...",泰坦尼克号,6,9.3
最好的宫崎骏，最好的久石让。 ,820127人评价,"导演:,宫崎骏,Hayao,Miyazaki,主演:,柊瑠美,Rumi,Hîragi,/,入野自由,Miy...",千与千寻,7,9.3
拯救一个人，就是拯救整个世界。,465282人评价,"导演:,史蒂文·斯皮尔伯格,Steven,Spielberg,主演:,连姆·尼森,Liam,Neeson...",辛德勒的名单,8,9.4
诺兰给了我们一场无法盗取的梦。,908247人评价,"导演:,克里斯托弗·诺兰,Christopher,Nolan,主演:,莱昂纳多·迪卡普里奥,Le...",盗梦空间,9,9.3
小瓦力，大人生。,598589人评价,"导演:,安德鲁·斯坦顿,Andrew,Stanton,主演:,本·贝尔特,Ben,Burtt,/,艾丽...",机器人总动员,10,9.3
永远都不能忘记你所爱的人。,576314人评价,"导演:,莱塞·霍尔斯道姆,Lasse,Hallström,主演:,理查·基尔,Richard,Ger...",忠犬八公的故事,11,9.3
英俊版憨豆，高情商版谢耳朵。,816430人评价,"导演:,拉库马·希拉尼,Rajkumar,Hirani,主演:,阿米尔·汗,Aamir,Khan,/,卡...",三傻大闹宝莱坞,12,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,689514人评价,"导演:,朱塞佩·托纳多雷,Giuseppe,Tornatore,主演:,蒂姆·罗斯,Tim,Roth,/,...",海上钢琴师,13,9.2
天籁一般的童声，是最接近上帝的存在。 ,553297人评价,"导演:,克里斯托夫·巴拉蒂,Christophe,Barratier,主演:,杰拉尔·朱诺,Géra...",放牛班的春天,14,9.2
一生所爱。,607721人评价,"导演:,刘镇伟,Jeffrey,Lau,主演:,周星驰,Stephen,Chow,/,吴孟达,Man,Tat,Ng...",大话西游之大圣娶亲,15,9.2
如果再也不能见到你，祝你早安，午安，晚安。,582852人评价,"导演:,彼得·威尔,Peter,Weir,主演:,金·凯瑞,Jim,Carrey,/,劳拉·琳妮,Lau...",楚门的世界,16,9.1
千万不要记恨你的对手，这样会让你失去理智。,411213人评价,"导演:,弗朗西斯·福特·科波拉,Francis,Ford,Coppola,主演:,马龙·白兰度,M...",教父,17,9.2
人人心中都有个龙猫，童年就永远不会消失。,506182人评价,"导演:,宫崎骏,Hayao,Miyazaki,主演:,日高法子,Noriko,Hidaka,/,坂本千夏,Ch...",龙猫,18,9.1
爱是一种力量，让我们超越时空感知它的存在。,605426人评价,"导演:,克里斯托弗·诺兰,Christopher,Nolan,主演:,马修·麦康纳,Matthew,Mc...",星际穿越,19,9.2
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,336843人评价,"导演:,黄东赫,Dong-hyuk,Hwang,主演:,孔侑,Yoo,Gong,/,郑有美,Yu-mi,Jeong,...",熔炉,20,9.2
香港电影史上永不过时的杰作。,494316人评价,"导演:,刘伟强,/,麦兆辉,主演:,刘德华,/,梁朝伟,/,黄秋生",无间道,21,9.1
满满温情的高雅喜剧。,441752人评价,"导演:,奥利维·那卡什,Olivier,Nakache,/,艾力克·托兰达,Eric,Toledano,主...",触不可及,22,9.2
Tomorrow is another day.,316440人评价,"导演:,维克多·弗莱明,Victor,Fleming,/,乔治·库克,George,Cukor,主演:,费...",乱世佳人,23,9.2
平民励志片。 ,651417人评价,"导演:,加布里尔·穆奇诺,Gabriele,Muccino,主演:,威尔·史密斯,Will,Smith,...",当幸福来敲门,24,9.0
真正的幸福是来自内心深处。,693296人评价,"导演:,罗伯·莱纳,Rob,Reiner,主演:,玛德琳·卡罗尔,Madeline,Carroll,/,卡...",怦然心动,25,8.9
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,351971人评价,"导演:,朱塞佩·托纳多雷,Giuseppe,Tornatore,主演:,安东娜拉·塔莉,Antonel...",天堂电影院,26,9.1
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,648596人评价,"导演:,拜伦·霍华德,Byron,Howard,/,瑞奇·摩尔,Rich,Moore,主演:,金妮弗·...",疯狂动物城,27,9.1
无尽的黑暗。,399357人评价,"导演:,克里斯托弗·诺兰,Christopher,Nolan,主演:,克里斯蒂安·贝尔,Christ...",蝙蝠侠：黑暗骑士,28,9.1
1957年的理想主义。 ,202414人评价,"导演:,Sidney,Lumet,主演:,亨利·方达,Henry,Fonda,/,马丁·鲍尔萨姆,Marti...",十二怒汉,29,9.4
对敌人的仁慈，就是对自己残忍。,281349人评价,"导演:,姜文,Wen,Jiang,主演:,姜文,Wen,Jiang,/,香川照之,Teruyuki,Kagawa,/...",鬼子来了,30,9.2
